product_id,name,description,category_id,brand,price,cost,stock_quantity,is_active,created_at
1,Samsung Sus Max,Fallen setzen scheinen was blau in antworten.,1,Samsung,231.51,169.29,71,True,2023-12-30
2,Google Eveniet Max,Almeno contrario piccolo naturalmente cucina opinione scrittore accendere scopo processo.,1,Google,240.32,186.63,258,True,2024-08-15
3,OnePlus Fährt Lite,Vero excepturi at atque sed nobis.,1,OnePlus,744.38,511.91,414,True,2024-05-26
4,Xiaomi Actitud Lite,Céder toile avenir éclater parfaitement sous expression contre autant peu.,1,Xiaomi,560.23,418.03,52,True,2024-01-19
5,Xiaomi Öffnen Air,Señaló tampoco grupos período sea igual grande.,1,Xiaomi,983.84,588.55,235,True,2025-08-18
6,OnePlus Elementos Lite,Quas cum fugit voluptatibus odit nam placeat sapiente quod dolorem.,1,OnePlus,580.13,372.93,295,True,2023-11-24
7,Apple Tales Max,Freuen erzählen wirklich vorbei gerade reiten hinter Welt.,1,Apple,1203.99,666.64,443,True,2025-01-24
8,Xiaomi Couleur Air,Finger Monate fressen Nase weg holen.,1,Xiaomi,410.45,291.9,136,True,2023-11-28
9,Apple Deserunt Plus,Bambino appartenere buio pensare sala industriale assoluto giovanotto vuoto.,1,Apple,893.38,660.03,194,True,2024-09-26
10,Samsung Invitare Lite,Prendere calcio stasera restare.,1,Samsung,496.76,393.42,205,True,2024-09-09
11,Xiaomi Dabei Air,Dir Abend See Schüler Zeit Sommer letzte Bruder offen.,1,Xiaomi,475.41,320.99,234,True,2024-04-15
12,OnePlus Forse Plus,Quis molestiae quod minus a eum accusantium ut.,1,OnePlus,899.67,551.72,459,True,2025-07-15
13,Apple Feuer Pro,Sectores encuentran gobierno capacidad tiempo humano vino.,1,Apple,861.38,669.53,440,True,2024-05-27
14,OnePlus Unde Plus,Colline malade oeuvre véritable tourner rapport position preuve fort plante.,1,OnePlus,281.59,198.41,270,True,2023-07-28
15,OnePlus Kann Lite,Cantare da finché operazione dedicare cucina attività perdere decisione.,1,OnePlus,1175.14,714.31,57,True,2024-05-23
16,Samsung Razones Lite,Lieb Fußball laufen Meer See.,1,Samsung,1438.96,836.09,497,True,2024-07-04
17,Samsung Si Air,Rem deleniti atque inventore incidunt iure quas perferendis voluptates.,1,Samsung,1330.67,965.25,259,True,2024-05-13
18,Apple Ni,Réussir brusquement contraire mariage changement connaissance inconnu songer.,1,Apple,900.19,544.92,470,False,2025-04-28
19,Samsung Miembros Lite,Aprire zona sicurezza veramente testa.,1,Samsung,344.43,244.29,122,True,2023-12-13
20,Google Doloremque,Jeune soin tache colère abri flot tôt réponse drôle.,1,Google,1259.83,699.84,392,True,2026-03-04
21,Apple Sorella Plus,Error voluptas neque molestiae quibusdam animi.,1,Apple,543.57,316.3,493,True,2024-08-19
22,Google Simile Plus,Ciò valere avanti conoscenza orecchio povero desiderio cane storico dimenticare.,1,Google,1492.69,951.64,460,True,2024-03-08
23,Apple Attimo,Indicare oltre ministro trarre corpo.,1,Apple,282.23,224.3,117,True,2023-07-19
24,Samsung Feuer Lite,Dauern plötzlich klein wie will Affe ob Musik.,1,Samsung,496.62,284.88,36,True,2025-01-25
25,Apple Vida,Meglio cattivo forma attenzione difficoltà ecco.,1,Apple,900.0,557.25,295,True,2026-02-27
26,Dell Réclamer Lite,Zum Tante mal rund Minutenmir wieder Brot Wagen Freude warum sie.,2,Dell,597.08,379.3,216,True,2023-10-23
27,Apple Fugit Pro,Erzählen glücklich schlagen verlieren lesen Flasche weit baden Onkel turnen.,2,Apple,526.29,325.22,127,True,2026-01-08
28,Lenovo El Pro,Packen frei sicher Milch ja Affe.,2,Lenovo,784.32,536.74,226,True,2024-01-21
29,Asus Generales Max,Alias fuga mollitia inventore aliquam facilis ut voluptas aliquam facere.,2,Asus,2154.66,1201.76,85,True,2026-03-16
30,Lenovo Vel Pro,Libros electoral camino posición toda muerto entrar larga.,2,Lenovo,2294.13,1740.88,199,True,2026-01-21
31,Lenovo Neque,Estructura mayoría precios chile entrar supuesto.,2,Lenovo,1861.84,1149.45,338,True,2024-05-17
32,HP Doch Air,Tribunal puso horas cámara movimiento familia produce guerra.,2,HP,856.17,672.42,277,True,2025-04-07
33,Apple Poner,Eveniet sint vitae eius odit id voluptatem modi.,2,Apple,1625.77,1096.24,80,True,2026-05-10
34,Dell Les Max,Nah zum Arzt nennen groß stark.,2,Dell,542.89,425.09,206,True,2024-11-20
35,Asus Serrer Air,Giudizio occorrere diritto prossimo abbandonare.,2,Asus,482.46,376.08,298,True,2025-04-12
36,Dell Fondo Lite,Beispiel rufen gibt gerade Vater Schüler gefährlich gelb ich.,2,Dell,1805.42,1302.53,202,True,2025-03-10
37,HP Village Pro,Darin in wir scheinen Weihnachten nächste gefährlich merken ab für.,2,HP,2349.94,1330.22,234,True,2024-01-25
38,Asus Roi Lite,Liberare invece costruire lo successo sangue compagnia avvocato.,2,Asus,846.62,621.17,451,True,2024-11-16
39,HP Ora Air,Plaza tarde dentro pero centro hacía parís.,2,HP,730.27,432.0,154,True,2026-06-22
40,Asus Niño Max,Moyen prison fils fortune chef porter suivant simple sous rencontrer dame.,2,Asus,1027.7,651.72,135,True,2024-02-09
41,Dell Seguire Air,Relación sueño cara creación tratamiento rafael unión suficiente socialista decía.,2,Dell,970.93,629.93,175,True,2024-12-26
42,Lenovo Ricchezza Pro,Studio recare loro distanza dimostrare persona rimanere militare pensare.,2,Lenovo,926.35,530.76,47,True,2025-01-21
43,Apple Katze Lite,Tu éste aparece aunque debe vista cómo.,2,Apple,1099.47,843.62,82,True,2025-11-26
44,Apple At Air,Époque installer attirer savoir fleur regretter tromper agiter.,2,Apple,633.94,357.38,462,True,2023-09-16
45,Asus Possibilità Pro,Très égal flot suffire.,2,Asus,1559.3,1079.9,157,True,2023-09-24
46,Dell Rapidement Lite,Stupido malattia donna magari già posare sbagliare qualità signorina tempo.,2,Dell,1831.34,1159.73,399,True,2025-10-14
47,Dell Tu Max,Superior medidas hace empresas señaló frente carlos mil.,2,Dell,2343.1,1735.81,499,True,2024-07-01
48,Apple Immobile Plus,Fußball Woche in um können sind bald Woche.,2,Apple,775.66,441.26,410,True,2024-11-24
49,Dell Totam Pro,Texto martín nuestro lo cómo.,2,Dell,2052.49,1586.53,439,True,2024-08-16
50,HP Pariatur Max,Encuentran bueno mis solo teatro pablo formación diferencia tenía ministro.,2,HP,1039.9,625.15,114,False,2024-08-03
51,Lenovo Anzi Lite,Scheinen Wohnung hoch schwimmen Berg schlimm oft bringen Spiel verkaufen.,3,Lenovo,385.81,301.95,179,True,2025-09-30
52,Lenovo Costruire Lite,Fondare inoltre genere meglio finire.,3,Lenovo,947.35,730.56,91,True,2024-12-29
53,Apple Port Lite,Estilo opinión técnica cambios cultura corazón peor todavía pasó.,3,Apple,656.09,468.17,223,True,2026-05-17
54,Xiaomi Solo Pro,Saluer nord entourer dès train doute humain raison montrer.,3,Xiaomi,913.58,687.45,362,True,2026-06-03
55,Samsung Intérieur Air,Ocasión frente bajo tenían buena aspecto habrá muchas las.,3,Samsung,458.59,358.85,471,True,2025-04-07
56,Lenovo Blanditiis Lite,Laborum quidem porro officia laudantium recusandae at dolore.,3,Lenovo,580.05,367.33,206,True,2024-03-21
57,Xiaomi Inventore Air,Lo momento iniziare regno fianco programma domenica diretto.,3,Xiaomi,714.19,503.66,462,True,2025-03-12
58,Apple Modelo,Blanditiis modi quis delectus dolor laborum quam voluptate.,3,Apple,407.29,304.43,310,True,2026-02-11
59,Xiaomi Materia Air,Equipo creo manos río mucho muy.,3,Xiaomi,723.28,486.19,86,True,2025-02-05
60,Lenovo Sol Max,Packen sitzen Brot allein fünf lange.,3,Lenovo,228.38,128.35,344,True,2024-08-15
61,Apple Einige,Pacientes estaban unidad estoy e pueda sólo.,3,Apple,188.28,104.31,435,True,2026-01-22
62,Samsung Recusandae Plus,Zwischen danach Sonne nie steigen.,3,Samsung,759.59,534.76,124,True,2023-07-16
63,Xiaomi Quasi Air,Tel effet noire grandir montagne atteindre veille boire recueillir.,3,Xiaomi,335.01,200.66,265,True,2024-11-26
64,Xiaomi Fuga,Estar seguir luego fondo francia futuro.,3,Xiaomi,262.34,179.4,286,True,2025-12-27
65,Xiaomi Mano Max,Schreien Klasse schlagen werfen stehen oder rot.,3,Xiaomi,854.98,566.88,380,True,2026-01-11
66,Samsung Nisi,Tarde todas algunas otras todos volver unión suerte distintas media.,3,Samsung,862.88,630.48,248,True,2025-01-17
67,Apple Vérité Lite,Wird leicht legen Bett auch jetzt Gesicht Fisch.,3,Apple,755.51,560.12,163,True,2023-12-17
68,Samsung Tu Air,Ultimo zona possibilità domandare anima richiedere linea pieno teatro condizione.,3,Samsung,345.57,216.5,109,True,2025-10-16
69,Xiaomi Riportare Plus,Intérêt front entendre bout claire.,3,Xiaomi,502.41,375.95,199,True,2023-08-14
70,Xiaomi Vide Lite,Peur fou recherche année battre détail campagne.,3,Xiaomi,554.43,312.87,385,True,2025-11-09
71,Samsung Prochain Plus,Llegó han dólares natural organización arte porque público momento podría.,3,Samsung,564.0,412.72,14,True,2025-10-10
72,Xiaomi Commencement,Color estar primer causa seguir sí flores humana visto unos octubre.,3,Xiaomi,930.61,516.32,13,True,2023-08-29
73,Xiaomi Front Pro,Impossibile ma lira lavoro chiave consiglio osservare.,3,Xiaomi,264.34,180.96,133,True,2024-09-10
74,Lenovo Atque Lite,Glück stehen freuen Abend sehr und nah richtig vier.,3,Lenovo,435.88,252.85,385,True,2025-11-14
75,Apple Rappeler Pro,Escalier recueillir fermer toute solitude visage dent fil.,3,Apple,548.76,336.25,487,True,2023-11-22
76,Logitech Attendre Max,Schuh tief hier rufen traurig Zug Lehrer arbeiten leise.,4,Logitech,266.91,150.16,429,False,2024-05-12
77,Razer Onore Max,Menos debía una nuevo operación septiembre e práctica nombre.,4,Razer,173.17,133.58,238,True,2025-07-29
78,Logitech Profondo Lite,Industria intereses tampoco trata formación peso tribunal cuando.,4,Logitech,274.78,208.57,55,True,2025-04-03
79,Corsair San Pro,Sieht jung braun Onkel von kann Schluss.,4,Corsair,147.48,91.62,303,True,2024-11-13
80,HyperX Hasta Pro,Gar her denn Mama Mutter.,4,HyperX,299.0,194.32,407,True,2023-09-27
81,Corsair Dolores Air,Non fugit placeat libero nesciunt.,4,Corsair,235.95,184.69,174,False,2025-11-11
82,Logitech Officiis Plus,Frage Affe suchen Weg scheinen dir kam groß nass.,4,Logitech,159.8,113.37,362,True,2024-06-29
83,HyperX Vers Plus,Unter er hier las fertig möglich müssen zwischen Garten.,4,HyperX,220.71,125.83,238,True,2025-01-04
84,Razer Fin Plus,Señora diferencia teoría debía entrada volvió fiscal características proceso chile.,4,Razer,292.46,227.63,124,True,2025-08-19
85,Logitech Tempora Plus,Dolorum quidem quisquam perspiciatis consequatur atque occaecati aliquam ratione alias facilis.,4,Logitech,180.1,129.45,108,True,2024-12-15
86,HyperX Consectetur Lite,Sieht durch davon Meer Zeit Mama Welt Tür.,4,HyperX,309.03,193.05,284,False,2024-07-30
87,Razer Werden Max,Qui et camarade vent changer vers simple.,4,Razer,255.5,173.19,353,True,2026-04-05
88,Logitech Rentrer Air,Steigen als Maus Klasse schaffen.,4,Logitech,46.08,34.31,124,True,2025-07-29
89,HyperX Neben Lite,Brûler déjà air sourire miser terminer danser attitude.,4,HyperX,157.12,96.4,180,True,2025-01-09
90,HyperX Vision Lite,Damit Auge arbeiten öffnen dafür Ferien Maus Himmel.,4,HyperX,92.0,57.01,61,True,2024-07-18
91,Razer Scheinen,Operaio qualunque stato più sguardo partire treno durante prima.,4,Razer,261.69,191.26,500,True,2025-02-03
